"ID","np","place","feature","type","is_natural","indig_or_wstrn","is_oipn","for_apeople","is_transl","class","erasure","problem","derog"
22,"Acadia","Champlain Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
23,"Acadia","Connors Nubble","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
24,"Acadia","Day Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
25,"Acadia","Dorr Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
26,"Acadia","Duck Harbor Landing","Infrastructure","Animal","Human-constructed","Western","NA - WPN","NA - WPN","No","Animal","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
27,"Acadia","Duck Harbor Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
28,"Acadia","Eagle Lake","Lake","Animal","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
29,"Acadia","Eastern Head","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
30,"Acadia","Echo Lake Beach","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
31,"Acadia","Fabbri","Picnic area","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
32,"Acadia","Flying Mountain","Mountain","Indigenous reference","Natural","Western","translation of oIPN","NA - WPN","Translation","Other","Translation of orignal IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
33,"Acadia","Frazer Point","Picnic area","Person","Human-constructed","Western","NA - WPN","yes","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
34,"Acadia","Gilley Field","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
35,"Acadia","Gilmore Peak","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
36,"Acadia","Gorham Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
37,"Acadia","Gorham Mountain Trailhead","Trailhead","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
38,"Acadia","Great Head","Park region","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
39,"Acadia","Great Notch","Point of Interest or geologic formation","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
40,"Acadia","Hodgdon Pond","Lake","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
41,"Acadia","Hulls Cove Visitor Center","Visitor Center","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No",NA,"Not erasure - evidence it is an original IPN | settler-built WPN","No information - cannot find explanation","No info - not likely, no evidence"
42,"Acadia","Hunters Head","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
43,"Acadia","Ikes Point","Point of Interest or geologic formation","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
44,"Acadia","Isle Au Haut","Park region","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
45,"Acadia","Jerusalem Mountain","Mountain","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Place","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
46,"Acadia","Jordan Pond","Lake","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
47,"Acadia","Jordan Pond House","Infrastructure","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
48,"Acadia","Kebo Mountain","Mountain","Indigenous reference","Natural","Indigenous","unclear","no","No","Act","No information","Western use of Indigenous name","No info - not likely, no evidence"
49,"Acadia","Lake Wood","Lake","Plant","Natural","Western","NA - WPN","NA - WPN","No",NA,"Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
50,"Acadia","Little Hunters Beach","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
51,"Acadia","Little Moose Island","Island","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
52,"Acadia","Long Pond","Lake","Shape","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
53,"Acadia","Long Porcupine Island","Island","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
54,"Acadia","Lower Hadlock Pond","Lake","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
55,"Acadia","Mansell Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
56,"Acadia","Mill Field","Point of Interest or geologic formation","Unknown","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
57,"Acadia","Mount Desert Island","Island","Other","Natural","Western","NA - WPN","NA - WPN","No","Place","Yes - know IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
58,"Acadia","Natural Seawall","Point of Interest or geologic formation","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
59,"Acadia","North Bubble","Mountain","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
60,"Acadia","Norumbega Mountain","Mountain","Mythology","Natural","Indigenous","unclear","no",NA,"Other","No information","Western use of Indigenous name","No info - not likely, no evidence"
61,"Acadia","Otter Cliff","Park region","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
62,"Acadia","Otter Point Bustop","Infrastructure","Animal","Human-constructed","Western","NA - WPN","NA - WPN","No","Animal","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
63,"Acadia","Parkman Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
64,"Acadia","Pemetic Mountain","Mountain","Indigenous reference","Natural","Indigenous","yes","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
65,"Acadia","Penobscot Mountain","Mountain","Indigenous reference","Natural","Indigenous","unclear","yes",NA,"People","Not erasure - evidence it is an original IPN | settler-built WPN","Western use of Indigenous name","No info - not likely, no evidence"
66,"Acadia","Pond Island","Island","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
67,"Acadia","Precipice Trailhead","Trailhead","Natural feature","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
68,"Acadia","Pretty Marsh","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
69,"Acadia","Rolling Island","Island","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
70,"Acadia","Round Pond","Lake","Shape","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
71,"Acadia","Sand Beach","Park region","Other","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
72,"Acadia","Sand Beach Entrance Station","Ranger Station","Natural feature","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
73,"Acadia","Sargent Mountain","Mountain","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
74,"Acadia","Schoodic Head","Mountain","Indigenous reference","Natural","Indigenous","yes","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","Western use of Indigenous name","No info - not likely, no evidence"
75,"Acadia","Schoodic Institute and Welcome Center","Infrastructure","Indigenous reference","Human-constructed","Indigenous","Built but based on oIPN","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","Western use of Indigenous name","No info - not likely, no evidence"
76,"Acadia","Schoodic Island","Island","Indigenous reference","Natural","Indigenous","yes","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","Western use of Indigenous name","No info - not likely, no evidence"
77,"Acadia","Schoodic Peninsula","Park region","Indigenous reference","Natural","Indigenous","yes","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
78,"Acadia","Schoodic Point","Point of Interest or geologic formation","Indigenous reference","Natural","Indigenous","yes","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
79,"Acadia","Schoodic Woods Campground","Campground","Indigenous reference","Human-constructed","Indigenous","Built but based on oIPN","no",NA,"Other","Not erasure - evidence it is an original IPN | settler-built WPN","Western use of Indigenous name","No info - not likely, no evidence"
80,"Acadia","Seal Cove Pond","Lake","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
81,"Acadia","Seawall Campground","Campground","Natural feature","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
82,"Acadia","Sheep Porcupine Island","Island","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
83,"Acadia","Sieur de Monts Entrance","Infrastructure","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
84,"Acadia","South Bubble","Mountain","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
85,"Acadia","St. Sauveur Mountain","Mountain","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
86,"Acadia","The Anvil","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
87,"Acadia","The Beehive","Point of Interest or geologic formation","Shape","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
88,"Acadia","The Tarn","Lake","Natural feature","Natural","Western","NA - WPN","NA - WPN","No",NA,"Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
89,"Acadia","The Thrumcap (Island)","Island","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
90,"Acadia","The Triad","Mountain","Other","Natural","Western","NA - WPN","NA - WPN","No",NA,"Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
91,"Acadia","Thompson Island Information Center","Infrastructure","Person","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
92,"Acadia","Thunder Hole Bus stop","Infrastructure","Other","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
93,"Acadia","Upper Hadlock Pond","Lake","Person","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","Colonialism - non-violent person but gained from Indigenous removal","No info - not likely, no evidence"
94,"Acadia","Western Ear","Park region","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
95,"Acadia","Western Head","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
96,"Acadia","Western Mountain","Mountain","Other","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
97,"Acadia","Wild Gardens of Acadia","Point of Interest or geologic formation","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No",NA,"Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
98,"Acadia","Wildwood Stables bustop","Infrastructure","Other","Human-constructed","Western","NA - WPN","NA - WPN","No",NA,"Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
99,"Acadia","Witch Hole Pond","Lake","Plant","Natural","Western","NA - WPN","NA - WPN","No",NA,"Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
100,"Acadia","Wonderland","Trail","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
101,"Big Bend","Alamo Creek","River","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
102,"Big Bend","Big Bend National Park","Park",NA,"Human-constructed","Western","NA - WPN","NA - WPN","No","Place","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
103,"Big Bend","Balanced Rock","Point of Interest or geologic formation","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
104,"Big Bend","Black Dike","Campground","Mineral","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
105,"Big Bend","Blue Creek","River","Natural feature","Natural","Western","NA - WPN","NA - WPN","No","Other","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
106,"Big Bend","Boquillas Canyon","Point of Interest or geologic formation","Other","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
107,"Big Bend","Boquillas Canyon Overlook","Point of Interest or geologic formation","Other","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
108,"Big Bend","Boquillas Canyon Trail","Trail","Other","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
109,"Big Bend","Buenos Aires","Campground","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No","Other","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
110,"Big Bend","Burro Mesa","Point of Interest or geologic formation","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
111,"Big Bend","Burro Mesa Pouroff","Point of Interest or geologic formation","Animal","Natural","Western","NA - WPN","NA - WPN","No","Animal","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
112,"Big Bend","Camp Chilicotal","Campground","Plant","Human-constructed","Western","NA - WPN","NA - WPN","No","Plant","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
113,"Big Bend","Camp de Leon","Campground","Animal","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
114,"Big Bend","Candelilla","Campground","Plant","Human-constructed","Western","NA - WPN","NA - WPN","No","Plant","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
115,"Big Bend","Casa Grande","Point of Interest or geologic formation","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Object","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
116,"Big Bend","Castolon","Visitor Center","Unknown","Human-constructed","Western","NA - WPN","NA - WPN","No","Person","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
117,"Big Bend","Castolon/Santa Elena Junction","Infrastructure","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No","Place","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
118,"Big Bend","Cerro Castellan","Mountain","Other Western reference","Natural","Western","NA - WPN","NA - WPN","No","Person","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
119,"Big Bend","Chilicotal Mountain","Mountain","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
120,"Big Bend","Chimneys Trail","Trail","Other Western reference","Human-constructed","Western","NA - WPN","NA - WPN","No","Object","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
121,"Big Bend","Chisos Basin Visitor Center","Visitor Center","Indigenous reference","Human-constructed",NA,"unclear","no",NA,"People","Not erasure - evidence it is an original IPN | settler-built WPN","No information - cannot find explanation","No info - not likely, no evidence"
122,"Big Bend","Chisos Mountains","Mountain","Unknown","Natural",NA,"unclear","no",NA,"People","Potentially - probably had IPN","No information - cannot find explanation","No info - not likely, no evidence"
123,"Big Bend","Chisos Mountains Basin Junction","Point of Interest or geologic formation","Unknown","Human-constructed",NA,"unclear","no",NA,"People","Not erasure - evidence it is an original IPN | settler-built WPN","No information - cannot find explanation","No info - not likely, no evidence"
124,"Big Bend","Chisos Mountains Lodge","Lodge","Unknown","Human-constructed",NA,"unclear","no",NA,"People","Not erasure - evidence it is an original IPN | settler-built WPN","No information - cannot find explanation","No info - not likely, no evidence"
125,"Big Bend","Cottonwood","Campground","Plant","Human-constructed","Western","NA - WPN","NA - WPN","No","Plant","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
126,"Big Bend","Cross Canyon Trail","Trail","Natural feature","Human-constructed","Western","NA - WPN","NA - WPN","No","Act","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
127,"Big Bend","Croton Peak","Mountain","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
128,"Big Bend","Croton Spring","River","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
129,"Big Bend","Dagger Flat","Point of Interest or geologic formation","Plant","Natural","Western","NA - WPN","NA - WPN","No","Plant","Potentially - probably had IPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
130,"Big Bend","Dagger Flat Auto Trail","Trail","Plant","Human-constructed","Western","NA - WPN","NA - WPN","No","Plant","Not erasure - evidence it is an original IPN | settler-built WPN","No - IPN, western built w/ WPN, or erasure as only problem","No info - not likely, no evidence"
